raceId,driverId,constructorId,grid,laps,top3
53,23,7,17,56,0
53,22,11,6,56,0
53,15,7,14,56,0
53,33,13,19,55,0
53,11,8,20,53,0
53,34,8,21,35,0
53,35,2,11,29,0
53,21,4,9,21,0
53,27,13,18,0,0
54,21,4,1,56,1
54,4,4,7,56,1
54,18,11,2,56,1
54,31,1,5,56,0
54,13,6,21,56,0
54,30,6,14,56,0
54,35,2,10,56,0
54,23,7,22,56,0
54,15,7,9,55,0
54,22,11,20,55,0
54,24,5,13,54,0
54,27,13,15,54,0
54,33,13,16,54,0
54,11,8,17,53,0
54,2,2,11,48,0
54,26,5,12,41,0
54,34,8,18,33,0
54,32,9,8,26,0
54,17,3,4,15,0
54,14,9,19,10,0
54,3,3,3,6,0
54,8,1,6,0,0
55,4,4,3,57,1
55,8,1,4,57,1
55,23,7,6,57,1
55,2,2,8,57,0
55,21,4,2,57,0
55,35,2,19,57,0
55,22,11,16,57,0
55,14,9,11,57,0
55,26,5,18,57,0
55,18,11,1,56,0
55,27,13,17,56,0
55,11,8,21,55,0
55,34,8,22,54,0
55,31,1,5,46,0
55,33,13,20,39,0
55,24,5,12,37,0
55,30,6,10,32,0
55,17,3,7,22,0
55,32,9,13,4,0
55,15,7,9,0,0
55,3,3,14,0,0
55,13,6,15,0,0
56,30,6,1,62,1
56,4,4,5,62,1
56,31,1,7,62,1
56,13,6,4,62,0
56,8,1,8,62,0
56,17,3,10,62,0
56,18,11,2,62,0
56,21,4,11,62,0
56,23,7,6,62,0
56,22,11,3,62,0
56,3,3,13,62,0
56,35,2,12,62,0
56,2,2,15,61,0
56,24,5,16,61,0
56,26,5,18,61,0
56,33,13,19,60,0
56,14,9,14,47,0
56,11,8,21,44,0
56,32,9,17,40,0
56,34,8,22,23,0
56,15,7,9,5,0
56,27,13,20,0,0
57,30,6,2,60,1
57,4,4,1,60,1
57,13,6,3,60,1
57,8,1,5,60,0
57,22,11,4,60,0
57,21,4,11,60,0
57,3,3,22,60,0
57,35,2,9,60,0
57,15,7,7,59,0
57,2,2,13,59,0
57,26,5,17,59,0
57,33,13,18,59,0
57,27,13,16,59,0
57,23,7,10,52,0
57,31,1,8,52,0
57,11,8,20,45,0
57,36,8,21,29,0
57,18,11,6,28,0
57,32,9,15,28,0
57,17,3,19,12,0
57,14,9,12,2,0
57,24,5,14,0,0
58,4,4,1,66,1
58,30,6,3,66,1
58,21,4,2,66,1
58,13,6,4,66,0
58,8,1,9,66,0
58,18,11,8,66,0
58,22,11,5,65,0
58,2,2,10,65,0
58,17,3,11,65,0
58,15,7,7,65,0
58,3,3,13,65,0
58,35,2,22,65,0
58,32,9,14,65,0
58,14,9,21,65,0
58,24,5,15,63,0
58,33,13,17,63,0
58,11,8,19,62,0
58,27,13,18,48,0
58,26,5,16,47,0
58,23,7,6,31,0
58,31,1,12,17,0
58,36,8,20,10,0
59,4,4,1,78,1
59,31,1,4,78,1
59,14,9,7,78,1
59,22,11,5,78,0
59,30,6,22,78,0
59,21,4,9,78,0
59,2,2,15,77,0
59,23,7,10,77,0
59,13,6,21,77,0
59,24,5,12,77,0
59,18,11,13,77,0
59,27,13,16,77,0
59,26,5,18,77,0
59,35,2,14,77,0
59,33,13,17,76,0
59,36,8,20,75,0
59,15,7,6,72,0
59,32,9,11,56,0
59,3,3,8,51,0
59,8,1,3,50,0
59,17,3,2,48,0
59,11,8,19,46,0
60,4,4,1,60,1
60,30,6,3,60,1
60,8,1,2,60,1
60,21,4,5,60,0
60,13,6,4,60,0
60,31,1,8,60,0
60,2,2,9,60,0
60,35,2,10,60,0
60,3,3,12,60,0
60,22,11,6,59,0
60,15,7,22,59,0
60,14,9,11,59,0
60,24,5,13,59,0
60,32,9,14,59,0
60,27,13,18,59,0
60,33,13,16,58,0
60,11,8,20,57,0
60,36,8,21,57,0
60,18,11,19,8,0
60,26,5,15,1,0
60,23,7,7,0,0
60,17,3,17,0,0
61,4,4,1,70,1
61,30,6,5,70,1
61,8,1,3,70,1
61,21,4,2,70,0
61,13,6,10,70,0
61,15,7,4,69,0
61,2,2,13,69,0
61,14,9,22,69,0
61,18,11,8,69,0
61,26,5,17,69,0
61,32,9,12,69,0
61,17,3,16,69,0
61,24,5,15,68,0
61,33,13,18,66,0
61,11,8,20,64,0
61,35,2,11,58,0
61,23,7,14,58,0
61,31,1,7,13,0
61,22,11,9,11,0
61,36,8,21,2,0
61,3,3,6,1,0
61,27,13,19,0,0
62,30,6,1,73,1
62,13,6,2,73,1
62,21,4,3,73,1
62,15,7,22,73,0
62,4,4,5,73,0
62,22,11,4,73,0
62,14,9,17,72,0
62,24,5,20,72,0
62,3,3,21,72,0
62,23,7,8,62,0
62,27,13,14,37,0
62,35,2,6,23,0
62,33,13,15,9,0
62,11,8,18,6,0
62,18,11,7,3,0
62,8,1,9,0,0
62,2,2,10,0,0
62,31,1,11,0,0
62,17,3,12,0,0
62,26,5,13,0,0
62,32,9,16,0,0
62,36,8,19,0,0
63,30,6,1,70,1
63,4,4,3,70,1
63,13,6,2,70,1
63,23,7,5,70,0
63,8,1,6,70,0
63,21,4,7,70,0
63,37,1,8,70,0
63,2,2,11,69,0
63,14,9,9,69,0
63,26,5,14,69,0
63,35,2,16,69,0
63,32,9,12,69,0
63,24,5,22,69,0
63,3,3,18,68,0
63,27,13,15,68,0
63,36,8,20,67,0
63,18,11,17,61,0
63,17,3,10,55,0
63,15,7,4,39,0
63,22,11,13,28,0
63,33,13,19,11,0
63,11,8,21,0,0
64,30,6,2,67,1
64,13,6,3,67,1
64,8,1,1,67,1
64,18,11,4,67,0
64,4,4,7,67,0
64,21,4,5,67,0
64,15,7,20,67,0
64,32,9,12,67,0
64,23,7,8,67,0
64,24,5,16,66,0
64,14,9,10,66,0
64,26,5,19,66,0
64,17,3,11,59,0
64,11,8,17,38,0
64,35,2,13,30,0
64,22,11,6,18,0
64,2,2,15,9,0
64,37,1,9,2,0
64,29,8,22,1,0
64,3,3,14,0,0
64,27,13,21,66,0
64,33,13,18,66,0
65,18,11,14,70,1
65,37,1,4,70,1
65,2,2,10,70,1
65,22,11,3,70,0
65,14,9,12,69,0
65,23,7,6,69,0
65,13,6,2,69,0
65,30,6,11,67,0
65,33,13,16,67,0
65,27,13,22,67,0
65,26,5,20,66,0
65,15,7,8,65,0
65,11,8,19,65,0
65,4,4,15,51,0
65,8,1,1,25,0
65,24,5,17,25,0
65,3,3,18,19,0
65,21,4,7,18,0
65,32,9,13,6,0
65,17,3,5,1,0
65,29,8,21,0,0
65,9,2,9,69,0
66,13,6,1,58,1
66,4,4,3,58,1
66,30,6,2,58,1
66,18,11,6,58,0
66,37,1,11,58,0
66,21,4,4,58,0
66,23,7,15,58,0
66,22,11,13,58,0
66,15,7,12,57,0
66,17,3,9,57,0
66,32,9,10,57,0
66,9,2,8,57,0
66,26,5,17,57,0
66,2,2,5,56,0
66,14,9,16,55,0
66,27,13,22,46,0
66,11,8,21,41,0
66,3,3,14,25,0
66,29,8,20,23,0
66,24,5,18,12,0
66,8,1,7,1,0
66,33,13,19,0,0
67,30,6,2,53,1
67,8,1,1,53,1
67,9,2,6,53,1
67,21,4,9,53,0
67,18,11,5,53,0
67,22,11,8,53,0
67,15,7,11,53,0
67,2,2,3,53,0
67,13,6,4,53,0
67,17,3,19,53,0
67,32,9,16,52,0
67,14,9,14,52,0
67,26,5,15,52,0
67,24,5,17,52,0
67,23,7,13,52,0
67,11,8,21,51,0
67,27,14,18,51,0
67,33,14,20,44,0
67,4,4,10,43,0
67,37,1,7,20,0
67,29,8,22,18,0
67,3,3,12,9,0
68,30,6,6,56,1
68,4,4,1,56,1
68,21,4,2,56,1
68,18,11,4,56,0
68,37,1,7,56,0
68,22,11,3,56,0
68,2,2,8,56,0
68,17,3,14,56,0
68,14,9,12,56,0
68,24,5,13,55,0
68,3,3,15,55,0
68,38,9,10,55,0
68,9,2,9,55,0
68,26,5,11,55,0
68,27,14,22,53,0
68,29,8,19,52,0
68,23,7,16,49,0
68,13,6,20,44,0
68,15,7,17,38,0
68,33,14,18,37,0
68,8,1,5,18,0
68,11,8,21,55,0
69,4,4,5,53,1
69,13,6,1,53,1
69,21,4,6,53,1
69,18,11,7,53,0
69,8,1,11,53,0
69,15,7,4,53,0
69,23,7,3,53,0
69,2,2,9,53,0
69,9,2,12,53,0
69,3,3,10,52,0
69,37,1,13,52,0
69,22,11,8,52,0
69,38,9,18,52,0
69,24,5,15,52,0
69,11,8,20,52,0
69,33,14,21,51,0
69,29,8,22,50,0
69,26,5,19,48,0
69,17,3,14,39,0
69,30,6,2,36,0
69,14,9,17,35,0
69,27,14,16,20,0
70,13,6,1,71,1
70,4,4,4,71,1
70,18,11,14,71,1
70,30,6,10,71,0
70,8,1,2,71,0
70,21,4,6,71,0
70,22,11,5,71,0
70,37,1,12,71,0
70,9,2,9,71,0
70,11,8,19,70,0
70,26,5,16,70,0
70,38,9,22,70,0
70,24,5,15,70,0
70,27,14,17,70,0
70,33,14,21,69,0
70,29,8,20,69,0
70,2,2,8,63,0
70,14,9,18,14,0
70,15,7,3,10,0
70,23,7,7,9,0
70,17,3,11,1,0
70,3,3,13,0,0
71,21,4,1,57,1
71,22,6,11,57,1
71,4,4,13,57,1
71,14,9,5,57,0
71,17,3,3,57,0
71,31,1,9,57,0
71,32,9,6,57,0
71,8,1,10,57,0
71,15,7,2,57,0
71,13,15,18,57,0
71,18,16,8,56,0
71,23,7,15,56,0
71,35,15,4,56,0
71,11,16,20,55,0
71,39,17,12,55,0
71,33,17,14,55,0
71,40,18,16,55,0
71,30,6,19,42,0
71,2,3,7,42,0
