team1,team2,venue,toss_winner,toss_decision,winner
10,2,32,2,1,2
0,8,13,0,0,0
13,6,57,13,0,6
11,10,13,10,1,11
14,2,13,14,0,2
8,6,57,6,1,6
13,0,49,0,1,0
2,11,57,11,1,2
10,14,49,14,1,10
6,0,57,6,0,0
13,8,13,8,1,13
11,14,13,11,0,14
2,6,49,6,1,6
10,8,57,8,1,8
11,13,13,13,1,13
14,0,49,0,1,0
6,10,13,10,1,10
0,11,57,11,1,11
8,2,49,2,1,2
13,10,49,13,0,13
14,6,13,14,0,6
0,2,13,2,1,2
11,8,49,8,1,8
14,13,57,13,1,14
0,10,13,10,1,10
6,11,49,11,1,6
8,14,57,8,0,8
2,13,13,13,1,13
2,0,13,0,1,0
13,6,49,13,0,6
2,6,49,6,1,6
0,6,13,6,1,0
0,6,56,6,1,6
8,2,6,2,1,2
13,10,10,10,1,10
7,4,56,4,1,4
11,14,31,14,1,11
6,13,10,13,1,13
0,7,6,7,1,7
10,6,56,6,1,6
11,8,10,8,1,11
4,2,31,2,1,4
10,0,6,0,1,10
7,14,10,14,1,7
11,13,56,13,1,13
8,6,31,6,1,6
2,7,10,7,1,7
10,4,6,4,1,4
0,14,10,14,1,14
8,13,31,13,1,13
2,6,6,6,1,2
11,7,56,7,1,11
4,14,10,14,1,14
0,13,10,13,1,0
10,8,31,8,1,10
4,11,10,11,1,4
6,14,6,14,1,14
7,8,6,8,1,7
13,2,56,2,1,13
10,14,10,14,1,14
0,4,31,4,1,4
11,6,6,6,1,11
13,7,10,7,1,13
10,2,6,2,1,2
8,0,10,0,1,0
11,2,56,2,1,11
4,6,10,4,0,4
13,14,6,14,1,14
7,8,56,8,1,7
10,0,56,0,1,10
11,13,31,13,1,11
14,4,56,4,1,4
6,2,56,2,1,2
7,10,31,10,1,7
13,4,6,13,0,4
11,8,10,8,1,8
7,2,56,7,0,7
0,14,31,14,1,0
11,6,56,6,1,6
4,10,10,4,0,10
13,0,31,0,1,13
2,14,6,14,1,2
8,4,6,4,1,8
10,11,56,10,0,11
7,6,31,6,1,7
13,14,56,13,0,13
0,2,10,2,1,0
6,8,10,8,1,6
4,7,31,4,0,4
11,2,10,2,1,2
0,8,56,8,1,8
10,13,6,13,1,10
6,14,31,6,0,6
0,4,56,0,0,4
11,7,6,11,0,11
2,10,10,10,1,2
14,8,56,8,1,14
7,6,10,7,0,7
4,13,56,4,0,13
0,11,6,0,0,11
2,8,56,8,1,8
14,10,56,14,0,10
11,4,15,4,1,4
13,7,15,7,1,13
13,11,32,11,1,11
11,4,32,11,0,4
0,4,32,4,1,4
10,6,39,6,1,10
7,2,4,2,1,7
11,14,43,14,1,11
8,13,24,13,1,13
0,7,28,7,1,0
2,4,1,4,1,4
10,11,3,11,1,10
6,13,15,13,1,6
14,7,4,14,0,7
11,2,3,2,1,11
8,0,56,0,1,0
4,6,32,4,0,6
10,14,43,14,1,14
13,7,24,7,1,7
2,8,1,8,1,8
11,0,28,0,1,11
10,4,39,4,1,4
14,6,15,6,1,14
13,2,24,2,1,13
7,10,4,10,1,10
6,8,56,8,1,8
4,11,32,11,1,11
0,13,24,13,1,0
8,14,43,14,1,8
7,11,47,11,1,7
13,10,39,10,1,13
6,2,1,2,1,2
14,0,28,0,1,0
4,7,4,4,0,4
10,8,56,8,1,10
13,11,24,11,1,13
0,6,15,6,1,0
2,14,43,2,0,2
4,8,32,8,1,4
6,13,24,13,1,6
11,0,47,11,0,11
7,10,39,10,1,7
6,4,15,4,1,4
14,2,1,14,0,14
0,10,28,0,0,10
11,8,56,11,0,8
13,7,4,13,0,13
2,4,32,2,0,2
10,8,39,8,1,8
6,14,43,6,0,6
11,4,47,11,0,4
8,0,28,0,1,0
13,2,1,13,0,2
4,7,32,7,1,4
11,14,47,11,0,14
10,6,15,10,0,6
13,8,56,8,1,8
0,2,28,0,0,0
6,11,15,11,1,11
8,4,56,4,1,8
14,7,43,14,0,7
10,2,1,2,1,10
13,11,47,13,0,13
0,6,28,0,0,6
4,14,32,14,1,4
7,8,4,8,1,7
2,10,19,10,1,2
14,13,43,13,1,13
10,11,19,11,1,11
0,2,1,0,0,0
7,6,15,6,1,7
14,8,56,8,1,8
13,4,24,4,1,4
0,4,28,4,1,0
8,7,28,8,0,8
4,8,32,8,1,4
4,0,32,0,1,0
13,0,28,13,0,0
2,10,29,10,1,10
6,14,15,14,1,6
11,7,47,11,0,11
4,8,32,8,1,4
10,13,24,13,1,13
0,4,28,4,1,0
14,8,43,8,1,14
11,2,47,2,1,11
13,6,24,6,1,6
7,10,4,7,0,7
14,4,32,14,0,4
2,0,12,2,0,2
8,11,56,11,1,11
7,13,24,13,1,7
6,2,12,6,0,6
4,10,32,10,1,10
0,14,43,14,1,14
13,11,47,11,1,11
8,2,56,2,1,8
7,4,4,7,0,7
6,0,28,0,1,0
14,10,29,10,1,14
11,4,47,4,1,4
13,8,56,8,1,8
7,2,4,7,0,2
10,11,29,11,1,11
7,6,15,6,1,6
0,8,56,8,1,0
14,13,24,13,1,14
6,11,15,11,1,11
4,2,32,2,1,2
8,10,29,10,1,8
0,7,4,7,1,7
14,2,1,2,1,14
6,13,15,13,1,6
10,4,29,10,0,4
8,11,47,8,0,11
0,7,28,7,1,7
2,4,1,4,1,2
13,14,43,13,0,13
6,10,15,10,1,10
2,8,1,8,1,2
7,11,4,11,1,11
4,13,32,13,1,13
0,14,28,14,1,0
2,6,15,2,0,6
8,7,4,7,1,7
0,10,28,10,1,10
14,11,43,14,0,14
6,8,56,8,1,6
4,13,24,13,1,13
0,10,19,10,1,0
6,7,4,7,1,6
14,8,56,8,1,8
2,11,1,11,1,2
7,14,43,7,0,14
13,10,19,10,1,13
4,0,32,0,1,4
6,8,15,8,1,6
11,0,28,11,0,0
13,2,24,2,1,13
2,7,1,7,1,2
11,10,3,11,0,10
7,8,56,8,1,7
13,0,24,0,1,13
10,14,43,10,0,14
14,6,32,14,0,6
13,11,32,11,1,11
14,11,28,11,1,14
14,6,28,14,0,6
